GO:0000377    35 "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
GO:0000379     1 "tRNA-type intron splice site recognition and cleavage"
GO:0000380    13 "alternative mRNA splicing, via spliceosome"
GO:0000381    10 "regulation of alternative mRNA splicing, via spliceosome"
GO:0000387     3 "spliceosomal snRNP assembly"
GO:0000393     1 "spliceosomal conformational changes to generate catalytic conformation"
GO:0000394     6 "RNA splicing, via endonucleolytic cleavage and ligation"
GO:0000395     1 "mRNA 5'-splice site recognition"
GO:0000398    35 "mRNA splicing, via spliceosome"
GO:0000400     7 "four-way junction DNA binding"
GO:0000403     5 "Y-form DNA binding"
GO:0000405     4 "bubble DNA binding"
GO:0000407     7 "phagophore assembly site"
GO:0000413     3 "protein peptidyl-prolyl isomerization"
GO:0000419     1 "RNA polymerase V complex"
GO:0000421    17 "autophagosome membrane"
GO:0000422    30 "autophagy of mitochondrion"
GO:0000423    25 "mitophagy"
GO:0000425     2 "pexophagy"
GO:0000428    11 "DNA-directed RNA polymerase complex"
GO:0000447     1 "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000448     1 "cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000455     1 "enzyme-directed rRNA pseudouridine synthesis"
GO:0000460     3 "maturation of 5.8S rRNA"
GO:0000462     1 "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000463     2 "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000466     2 "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000470     3 "maturation of LSU-rRNA"
GO:0000472     1 "endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000479     2 "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000480     1 "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000491     2 "small nucleolar ribonucleoprotein complex assembly"
GO:0000492     2 "box C/D snoRNP assembly"
GO:0000494     1 "box C/D sno(s)RNA 3'-end processing"
GO:0000502    16 "proteasome complex"
GO:0000511     1 "H2A-H2B histone complex chaperone activity"
GO:0000512     1 "lncRNA-mediated post-transcriptional gene silencing"
GO:0000578    12 "embryonic axis specification"
GO:0000700     2 "mismatch base pair DNA N-glycosylase activity"
GO:0000701     2 "purine-specific mismatch base pair DNA N-glycosylase activity"
GO:0000702     4 "oxidized base lesion DNA N-glycosylase activity"
GO:0000710     2 "meiotic mismatch repair"
GO:0000711     3 "meiotic DNA repair synthesis"
GO:0000712     4 "resolution of meiotic recombination intermediates"
GO:0000721     1 "(R,R)-butanediol dehydrogenase activity"
GO:0000722     2 "telomere maintenance via recombination"
GO:0000723    37 "telomere maintenance"
GO:0000724    29 "double-strand break repair via homologous recombination"
GO:0000725    33 "recombinational repair"
GO:0000729     5 "DNA double-strand break processing"
GO:0000731    18 "DNA synthesis involved in DNA repair"
GO:0000741     2 "karyogamy"
GO:0000742     2 "karyogamy involved in conjugation with cellular fusion"
GO:0000743     1 "nuclear migration involved in conjugation with cellular fusion"
GO:0000747     5 "conjugation with cellular fusion"
GO:0000749     1 "response to pheromone triggering conjugation with cellular fusion"
GO:0000750     1 "pheromone-dependent signal transduction involved in conjugation with cellular fusion"
GO:0000753     2 "cell morphogenesis involved in conjugation with cellular fusion"
GO:0000768    11 "syncytium formation by plasma membrane fusion"
GO:0000773     1 "phosphatidyl-N-methylethanolamine N-methyltransferase activity"
GO:0000775    33 "chromosome, centromeric region"
GO:0000776    17 "kinetochore"
GO:0000779    20 "condensed chromosome, centromeric region"
GO:0000781    37 "chromosome, telomeric region"
GO:0000782     2 "telomere cap complex"
GO:0000783     2 "nuclear telomere cap complex"
GO:0000785   159 "chromatin"
GO:0000786     2 "nucleosome"
GO:0000791    15 "euchromatin"
GO:0000792    20 "heterochromatin"
GO:0000793    39 "condensed chromosome"
GO:0000794    16 "condensed nuclear chromosome"
GO:0000795     7 "synaptonemal complex"
GO:0000800     1 "lateral element"
GO:0000801     4 "central element"
GO:0000802     2 "transverse filament"
GO:0000803     2 "sex chromosome"
GO:0000814     1 "ESCRT II complex"
GO:0000815     1 "ESCRT III complex"
GO:0000819    42 "sister chromatid segregation"
GO:0000820     6 "regulation of glutamine family amino acid metabolic process"
GO:0000821     6 "regulation of arginine metabolic process"
GO:0000825     1 "inositol-1,3,4,5-tetrakisphosphate 6-kinase activity"
GO:0000828     1 "inositol hexakisphosphate kinase activity"
GO:0000900     5 "mRNA regulatory element binding translation repressor activity"
GO:0000902   253 "cell morphogenesis"
GO:0000906     4 "6,7-dimethyl-8-ribityllumazine synthase activity"
GO:0000907     1 "sulfonate dioxygenase activity"
GO:0000908     2 "taurine dioxygenase activity"
GO:0000910    64 "cytokinesis"
GO:0000911     1 "cytokinesis by cell plate formation"
GO:0000912     4 "assembly of actomyosin apparatus involved in cytokinesis"
GO:0000915     4 "actomyosin contractile ring assembly"
GO:0000916     2 "actomyosin contractile ring contraction"
GO:0000917    14 "division septum assembly"
GO:0000921     2 "septin ring assembly"
GO:0000922    30 "spindle pole"
GO:0000923     1 "equatorial microtubule organizing center"
GO:0000930     1 "gamma-tubulin complex"
GO:0000932    20 "P-body"
GO:0000938     1 "GARP complex"
GO:0000940     2 "outer kinetochore"
GO:0000947     8 "amino acid catabolic process to alcohol via Ehrlich pathway"
GO:0000949     8 "aromatic amino acid family catabolic process to alcohol via Ehrlich pathway"
GO:0000955     8 "amino acid catabolic process via Ehrlich pathway"
GO:0000956    16 "nuclear-transcribed mRNA catabolic process"
GO:0000959    11 "mitochondrial RNA metabolic process"
GO:0000963     5 "mitochondrial RNA processing"
GO:0000964     2 "mitochondrial RNA 5'-end processing"
GO:0000965     4 "mitochondrial RNA 3'-end processing"
GO:0000966    14 "RNA 5'-end processing"
GO:0000967     4 "rRNA 5'-end processing"
GO:0000972     1 "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery"
GO:0000973     1 "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery"
GO:0000974     4 "Prp19 complex"
GO:0000976   332 "transcription cis-regulatory region binding"
GO:0000977   120 "RNA polymerase II transcription regulatory region sequence-specific DNA binding"
GO:0000978   114 "RNA polymerase II cis-regulatory region sequence-specific DNA binding"
GO:0000979     3 "RNA polymerase II core promoter sequence-specific DNA binding"
GO:0000981   118 "DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000987   138 "cis-regulatory region sequence-specific DNA binding"
GO:0000993     7 "RNA polymerase II complex binding"
GO:0001016     1 "RNA polymerase III transcription regulatory region sequence-specific DNA binding"
GO:0001018     1 "mitochondrial promoter sequence-specific DNA binding"
GO:0001046    18 "core promoter sequence-specific DNA binding"
GO:0001067   332 "transcription regulatory region nucleic acid binding"
GO:0001072     1 "transcription antitermination factor activity, RNA binding"
GO:0001073     1 "transcription antitermination factor activity, DNA binding"
GO:0001091    46 "RNA polymerase II general transcription initiation factor binding"
GO:0001093     3 "TFIIB-class transcription factor binding"
GO:0001094    42 "TFIID-class transcription factor complex binding"
GO:0001098    54 "basal transcription machinery binding"
GO:0001099    53 "basal RNA polymerase II transcription machinery binding"
GO:0001101    68 "response to acid chemical"
GO:0001108     1 "bacterial-type RNA polymerase holo enzyme binding"
GO:0001109     2 "promoter clearance during DNA-templated transcription"
GO:0001111     2 "RNA polymerase II promoter clearance"
GO:0001115     1 "protein-DNA-RNA complex organization"
GO:0001117     1 "protein-DNA-RNA complex disassembly"
GO:0001147     1 "transcription termination site sequence-specific DNA binding"
GO:0001161     2 "intronic transcription regulatory region sequence-specific DNA binding"
GO:0001162     1 "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding"
GO:0001181     1 "RNA polymerase I general transcription initiation factor activity"
GO:0001188     2 "RNA polymerase I preinitiation complex assembly"
GO:0001216   106 "DNA-binding transcription activator activity"
GO:0001217    59 "DNA-binding transcription repressor activity"
GO:0001221    31 "transcription coregulator binding"
GO:0001222    12 "transcription corepressor binding"
GO:0001223    15 "transcription coactivator binding"
GO:0001227    30 "DNA-binding transcription repressor activity, RNA polymerase II-specific"
GO:0001228    89 "DNA-binding transcription activator activity, RNA polymerase II-specific"
GO:0001325     3 "formation of extrachromosomal circular DNA"
GO:0001403     1 "invasive growth in response to glucose limitation"
GO:0001411     2 "hyphal tip"
GO:0001501    71 "skeletal system development"
GO:0001502     2 "cartilage condensation"
GO:0001503    72 "ossification"
GO:0001504     4 "neurotransmitter uptake"
GO:0001507     2 "acetylcholine catabolic process in synaptic cleft"
GO:0001508    30 "action potential"
GO:0001510    61 "RNA methylation"
GO:0001512     1 "dihydronicotinamide riboside quinone reductase activity"
GO:0001514     1 "selenocysteine incorporation"
GO:0001516    10 "prostaglandin biosynthetic process"
GO:0001518     1 "voltage-gated sodium channel complex"
GO:0001520     1 "outer dense fiber"
GO:0001522     4 "pseudouridine synthesis"
GO:0001523    27 "retinoid metabolic process"
GO:0001525   112 "angiogenesis"
GO:0001530     7 "lipopolysaccharide binding"
GO:0001533     3 "cornified envelope"
GO:0001539    39 "cilium or flagellum-dependent cell motility"
GO:0001540    28 "amyloid-beta binding"
GO:0001541    14 "ovarian follicle development"
GO:0001542     2 "ovulation from ovarian follicle"
GO:0001547     2 "antral ovarian follicle growth"
GO:0001553     3 "luteinization"
GO:0001554     4 "luteolysis"
GO:0001556     5 "oocyte maturation"
GO:0001558    91 "regulation of cell growth"
GO:0001561     8 "fatty acid alpha-oxidation"
GO:0001562    10 "response to protozoan"
GO:0001568   148 "blood vessel development"
GO:0001569    11 "branching involved in blood vessel morphogenesis"
GO:0001570    16 "vasculogenesis"
GO:0001573     9 "ganglioside metabolic process"
GO:0001574     1 "ganglioside biosynthetic process"
GO:0001578     9 "microtubule bundle formation"
GO:0001580     1 "detection of chemical stimulus involved in sensory perception of bitter taste"
GO:0001605     1 "adrenomedullin receptor activity"
GO:0001614     1 "purinergic nucleotide receptor activity"
GO:0001618    14 "virus receptor activity"
GO:0001640     2 "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity"
GO:0001649    45 "osteoblast differentiation"
GO:0001650    15 "fibrillar center"
GO:0001652     1 "granular component"
GO:0001653     5 "peptide receptor activity"
GO:0001654    62 "eye development"
GO:0001655    12 "urogenital system development"
GO:0001656    12 "metanephros development"
GO:0001657    24 "ureteric bud development"
GO:0001658    11 "branching involved in ureteric bud morphogenesis"
GO:0001659    45 "temperature homeostasis"
GO:0001660     6 "fever generation"
GO:0001661     1 "conditioned taste aversion"
GO:0001662     8 "behavioral fear response"
GO:0001664    76 "G protein-coupled receptor binding"
